Person 91
Starting Actual Velocity = [1.11551449 0.44294879]
[0.58117208 2.81070963]
[0.40976093 2.64577962]
[0.24372603 2.4838607 ]
[0.08228497 2.32712439]
[0.20338357 2.42282821]
[0.3145887  2.50789631]
[0.41424286 2.5830392 ]
[0.50086072 2.64880645]
[0.57832245 2.70962331]
[0.63399025 2.75691717]
[0.67339899 2.79538482]
[0.69761461 2.82689319]
[0.70209432 2.8474482 ]
[0.68680143 2.85630912]
[0.65201853 2.85251701]
[0.60190434 2.83610021]
[0.53606242 2.80665306]
[0.45535615 2.76303435]
[0.3607886  2.70407051]
[0.25346716 2.62859912]
[0.12607285 2.52886644]
[-0.01317904  2.40762672]
[-0.15285767  2.27346819]
[-0.30044502  2.11917921]
[-0.4659211   1.93190935]
[-0.63813382  1.72094018]
[-0.80424778  1.50224398]
[-0.97474245  1.26392438]
[-1.14913256  1.00695215]
[-1.32708368  0.73264507]
[-1.50840232  0.44265491]
[-1.69301911  0.138943  ]
[-1.89439074 -0.19876881]
[-2.08604642 -0.52350515]
[-2.29524532 -0.87805387]
[-2.50880205 -1.23634302]
[-2.7123499  -1.57097647]
[-2.93470823 -1.92666541]
[-3.14655893 -2.25267499]
[-3.36227074 -2.57045196]
[-3.58160774 -2.87753314]
[-3.82010479 -3.19266114]
[-4.0457068  -3.47057392]
[-4.27339313 -3.73155664]
[-4.50239695 -3.9740646 ]
[-4.73183633 -4.19679203]
[-4.96072759 -4.39866036]
[-5.18800092 -4.57880007]
[-5.41251695 -4.73652769]
[-5.63308357 -4.87131945]
[-5.84847181 -4.98278343]
[-6.0574175  -5.07063651]
[-6.272984   -5.13925939]
[-6.47814133 -5.18045377]
[-6.67115522 -5.19414631]
[-6.85018905 -5.1803015 ]
[-7.01329285 -5.13890185]
[-7.14872367 -5.07453225]
[-7.26654865 -4.98607072]
[-7.36488201 -4.87349571]
[-7.44177619 -4.73679991]
[-7.49524315 -4.57600548]
[-7.52528515 -4.3779838 ]
[-7.5238543  -4.15263802]
[-7.49098051 -3.91712918]
[-7.42219914 -3.64001333]
[-7.31555018 -3.3371101 ]
[-7.16931413 -3.009424  ]
[-6.98210736 -2.65825924]
[-6.75294683 -2.28524107]
[-6.48130806 -1.89232148]
[-6.16717348 -1.48176729]
[-5.81106882 -1.05612949]
[-5.4140858 -0.6181949]
[-5.00696965 -0.20074029]
[-4.56753626  0.22230918]
[-4.09799791  0.64846258]
[-3.60096082  1.07527302]
[-3.07939204  1.50039642]
[-2.5365793   1.92164518]
[-1.97608576  2.3370344 ]
[-1.40170098  2.74481853]
[-0.81738995  3.14351739]
[-0.22724173  3.53193105]
[0.36458071 3.90914408]
[0.95388818 4.27451997]
[1.57812503 4.65291333]
[2.18960214 5.01715785]
[2.78339132 5.36738974]
[3.31663678 5.68155029]
[3.82667786 5.98430684]
[4.3444616 6.2971017]
[4.82720278 6.59831859]
[5.27097768 6.88889178]
[5.6721027  7.16980593]
[6.02713594 7.44206673]
[6.3124961  7.68903557]
[6.55269691 7.93014751]
[6.75929176 8.18301853]
[6.89884438 8.41437814]
[6.98713877 8.64208823]
[7.02269637 8.86675754]
[7.00435689 9.0889236 ]
[7.09730001 9.43808476]
[7.11804205 9.76949314]
[ 7.06672285 10.08328545]
[ 6.94405148 10.37928226]
[ 6.75143918 10.65692212]
[ 6.49112715 10.91519987]
[ 6.16630046 11.15261348]
[ 5.75366878 11.38244743]
[ 5.27820872 11.58271286]
[ 4.78326458 11.73838534]
[ 4.20999792 11.87004227]
[ 3.64168985 11.95301243]
[ 3.05160709 11.99442435]
[ 2.44946388 11.98983226]
