Person 91
[15.35817968 -3.79182073]
[15.20244369 -3.77655938]
[15.06677573 -3.75733308]
[14.93193791 -3.73648094]
[14.79513428 -3.71796518]
[14.65107597 -3.70294701]
[14.49531199 -3.69158572]
[14.32592689 -3.68337549]
[14.13865762 -3.67611036]
[13.92092946 -3.66374316]
[13.70668536 -3.64354724]
[13.48550622 -3.60393915]
[13.28647489 -3.54674368]
[13.08726674 -3.27303355]
[12.91132004 -3.04873575]
[12.75600098 -2.86545357]
[12.61937047 -2.71105636]
[12.50501023 -2.5879969 ]
[12.41349714 -2.48532306]
[12.34627957 -2.39609184]
[12.30595449 -2.31154467]
[12.3142987 -2.2084384]
[12.32597028 -2.1253852 ]
[12.36279214 -2.03790213]
[12.42557818 -1.94432598]
[12.50642862 -1.84977261]
[12.59562084 -1.7600666 ]
[12.69900332 -1.6720541 ]
[12.80044704 -1.59411389]
[12.89587967 -1.52709428]
[12.9608448  -1.46135226]
[13.0145405 -1.4103727]
[13.06946267 -1.36624104]
[13.12246682 -1.32931479]
[13.18036233 -1.29565006]
[13.20655459 -1.27864896]
[13.22648206 -1.26693333]
[13.2643446  -1.25080737]
[13.26214097 -1.25097759]
[13.22954671 -1.26072365]
[13.17803092 -1.27546201]
[13.11262749 -1.29262346]
[13.03155713 -1.31221067]
[12.93160886 -1.33606097]
[12.81966447 -1.36028593]
[12.69607976 -1.3850842 ]
[12.56515438 -1.40999393]
[12.4332437  -1.43214836]
[12.30795538 -1.45049331]
[12.19832492 -1.46281332]
[12.11300552 -1.46672564]
[11.94585921 -1.51748425]
[11.83774312 -1.53916483]
[11.7848355  -1.52957032]
[11.78770736 -1.48526845]
[11.83237445 -1.41226964]
[11.9172308  -1.30875301]
[12.01774566 -1.18799339]
[12.133621   -1.04753441]
[12.25921085 -0.88777789]
[12.35978063 -0.73161756]
[12.44470026 -0.57325192]
[12.48605849 -0.43846761]
[12.51831803 -0.30718378]
[12.5243356  -0.20078873]
[12.54012074 -0.10002316]
[ 1.25677004e+01 -1.16450648e-02]
[1.24998242e+01 6.34831518e-03]
[12.46716557  0.01906664]
[12.481593    0.03164244]
[12.54141531  0.04299453]
[12.64039409  0.05103821]
[12.76850962  0.05347896]
[12.91307904  0.04856119]
[13.06007075  0.03564203]
[13.2060401  0.0165511]
[1.34257254e+01 3.76700257e-03]
[13.52193802 -0.02176761]
[13.53392378 -0.04813684]
[13.48298233 -0.06925736]
[13.3631459  -0.08755009]
[13.19776627 -0.10496555]
[12.99835702 -0.12462171]
[12.76528011 -0.15079482]
[12.49852406 -0.19073326]
[12.19109887 -0.25062799]
[11.82805546 -0.33787888]
[11.42940119 -0.45137658]
[11.01730202 -0.58116358]
[10.55634956 -0.73146715]
[10.07249562 -0.89177522]
[ 9.56076305 -1.05960558]
[ 8.95919953 -1.2491558 ]
[ 8.34597497 -1.43671956]
[ 7.81431475 -1.60347307]
[ 7.38944065 -1.74766425]
[ 7.07780627 -1.97479927]
[ 6.97235657 -2.09222322]
[ 7.00974173 -2.19571031]
[ 7.21077286 -2.29042646]
[ 7.54304196 -2.36324541]
[ 8.02890155 -2.41566223]
[ 8.62673171 -2.43852677]
[ 9.2756823  -2.42836098]
[10.00668717 -2.38530343]
[10.70336542 -2.3131471 ]
[11.40442245 -2.2136071 ]
[12.08998322 -2.08811306]
[12.74232022 -1.93811302]
[13.34663086 -1.76493819]
[13.89126198 -1.56976861]
[14.36755161 -1.35370647]
[14.7660489  -1.13298883]
[15.09057125 -0.90948809]
[15.38081827 -0.66866205]
[15.59960449 -0.42981263]
[15.77482122 -0.17517857]
[15.88573064  0.08615335]
[15.92215656  0.34487157]
[15.89689603  0.62199097]
[15.79811397  0.90879953]
[15.62503299  1.20613595]
[15.37865476  1.51377947]
[15.06948819  1.81809526]
[14.6902374   2.13787004]
[14.25269278  2.45378724]
[13.83270741  2.74991229]
[13.39624786  3.03617676]
[12.95818872  3.30277118]
[12.51752034  3.5454339 ]
[12.10899197  3.7280324 ]
[11.72210445  3.84644254]
[11.35428352  3.88737772]
[10.9975908   3.84151673]
[10.63944101  3.704997  ]
[10.26394181  3.48032071]
[9.93885507 3.17444701]
[9.56584098 2.83172967]
[9.1551516  2.48310082]
[8.6847608  2.12566305]
[8.14306549 1.77053906]
[7.6214035  1.48834462]
[7.12599499 1.26906967]
[6.64227597 1.09700311]
[6.23309002 0.98482506]
[5.88929692 0.91535564]
[5.6530332  0.88499937]
[5.58775708 0.85852783]
[5.69462642 0.81338247]
[5.99734823 0.7213914 ]
[6.486572   0.57631308]
[7.15381202 0.38155396]
[8.00821419 0.14129315]
[ 8.9503099  -0.10833242]
[10.0157414  -0.36468927]
[11.08211181 -0.58754288]
[12.20331153 -0.77775942]
[13.25718379 -0.9057138 ]
[14.30925743 -0.9740985 ]
[15.25029769 -0.97093036]
[16.11062975 -0.90033762]
[16.9436816  -0.75162503]
[17.88355817 -0.53510991]
[18.66115471 -0.28175473]
[1.93033388e+01 6.15450099e-03]
[19.75090901  0.28556427]
[20.04682456  0.54954503]
[20.20320691  0.77820224]
[20.23808885  0.96043916]
[20.1587857   1.06393145]
[19.99356429  1.07271608]
[19.7520087   0.98355287]
[19.46593544  0.79451503]
[19.12493601  0.49575497]
[18.76149916  0.11231318]
[18.34883322 -0.37501637]
[19.19260218 -1.15501242]
[19.73956325 -1.93058525]
[19.98216333 -2.70599551]
[19.91900633 -3.48357235]
[19.55821107 -4.2600396 ]
[18.92063116 -5.02285289]
[18.0420502  -5.74754325]
