Person 40
Starting Position = (314.45633361822,126.16519487008215)
(551.7939611157913,290.8737449984391)
(553.5339761578049,292.1317169473748)
(555.2407235182021,293.36606014799975)
(557.2298007954607,294.8050234089222)
(558.896257078023,296.0014464422057)
(560.5605573284715,297.1914476953443)
(562.2331350149476,298.38498533793455)
(563.8927795827492,299.56847751523384)
(565.5197861269571,300.7288006569705)
(567.1126537220905,301.86538484363774)
(568.7219417260284,303.0146010442914)
(570.3128139802225,304.1516416197609)
(571.8850047219631,305.2763899571487)
(573.4383834792143,306.3887585055815)
(575.0070009034645,307.51313724831505)
(576.5396486850769,308.6127626388346)
(578.0193499108419,309.6753287265122)
(579.5141537500037,310.7496298294565)
(580.9747520518616,311.7944269710025)
(582.4801241428119,312.86836536397306)
(584.0256687870253,313.9695458319661)
(585.5555693548307,315.05922298717337)
(587.0325335366026,316.1114388511737)
(588.4898354013765,317.15017975361565)
(589.9783806676064,318.2118747952498)
(591.4798240694978,319.28348424312463)
(592.9761057668693,320.35205201581846)
(594.483685718883,321.4291870136472)
(595.9336147869975,322.4654299652229)
(597.3089292019861,323.44844107025904)
(598.6774242579107,324.42640836722745)
(600.1561644256459,325.48244278994207)
(601.5259796154805,326.4597890390591)
(603.6700985145873,327.98322880717006)
(605.4176384739116,329.22024222177714)
(606.7251749368031,330.14292845837)
(607.9573688161055,331.00889103115)
(609.1481964413591,331.8413544970447)
(610.3468715994375,332.6734536955654)
(611.5698771291073,333.5147468631051)
(612.9768541295018,334.4693552163991)
(614.1393269674205,335.248165523654)
(615.2478931809168,335.98041552639785)
(616.4753371552611,336.77591566573744)
(617.556461081099,337.4635666619882)
(618.6313949917894,338.1328171014131)
(619.6849238866936,338.7733727402007)
(620.7478435611289,339.40243935519175)
(621.7744472317479,339.9926568612206)
(622.7952086356776,340.56105222833105)
(623.8101995905056,341.1067724282718)
(624.7894934449682,341.61416636159294)
(625.7630720704971,342.0987685179693)
(626.7310194134069,342.56017955554745)
(627.6933785649329,342.99812094952745)
(628.6501569897431,343.41243559173756)
(629.5867522420194,343.7973609824417)
(630.5032041282986,344.1538948494648)
(631.3996159684689,344.4831363618078)
(632.2761636484187,344.786266048993)
(633.1473124555877,345.0689443867485)
(633.9992166198477,345.32756765087595)
(634.846334711581,345.56730297562245)
(635.7031592768118,345.79240094876303)
(637.2951880859794,346.18109807604014)
(638.1454723154014,346.36777389145664)
(638.9748956938761,346.5318220210227)
(639.7992937709943,346.6800991324626)
(640.6199320124564,346.8163428352307)
(641.4095671268918,346.9391418924582)
(642.1815342610603,347.053041948729)
(642.9621508184031,347.1635738202261)
(643.7361879809494,347.2692823399599)
(644.5281568412269,347.3739290468319)
(645.3217272130387,347.4748447501342)
(646.0496313586251,347.56223699313745)
(646.774788336789,347.6433774519176)
(647.4955373637689,347.71722866839116)
(648.1990553864533,347.781807753863)
(648.8742943258446,347.8360892576409)
(649.5461005260714,347.88264688689935)
(650.1821572514426,347.92000109018016)
(650.8071905418517,347.95081457348306)
(651.4119695585526,347.9753959880355)
(651.997976501605,347.99429843028554)
(652.7404632378717,348.01421192804395)
(653.5113470510146,348.02801798275317)
(654.2004587145617,348.02981731551733)
(654.8389554775218,348.01964794412567)
(655.3860199466178,348.00007470490146)
(655.9350606802457,347.96962618276774)
(656.4564589565368,347.930835904906)
(656.9606293121352,347.88428450143283)
(657.4573370820682,347.82991969477627)
(657.9460650456874,347.76814380802665)
(658.4446961558243,347.69646002380125)
(659.0163696025695,347.60447168080805)
(659.5136449479522,347.51476685838276)
(660.0370308788199,347.41197833574523)
(660.4924198265121,347.31653326918627)
(660.9270860140862,347.22249080929237)
(661.344422851193,347.1322463266158)
(661.7559111970451,347.04608814705995)
(662.1816932012731,346.9627360823231)
(662.605249381541,346.88659377467377)
(663.0349255019049,346.8163476725719)
(663.4684974583921,346.75124607267963)
(663.9109935544583,346.68812204836473)
(664.417882605979,346.61493965710264)
(664.8297811420298,346.5464858171697)
(665.2199199800617,346.4653024387615)
(665.5897110090573,346.3626080566634)
(665.9277638383973,346.23374133082336)
(666.2288077852827,346.0775473784559)
(666.5089342808349,345.88402997865296)
(666.7640777248354,345.6612923416161)
(667.0031248688698,345.413122144697)
(667.2339021621079,345.14487080386283)
(667.4570550340279,344.86936239978525)
(667.6922569777469,344.5734458451266)
(667.9431215408252,344.26298570145906)
(668.2243846187239,343.9319232344931)
(668.4937453849833,343.63391243975593)
(668.7797741950897,343.34187124543496)
(669.1225207952862,343.0307031045605)
(669.4466948648254,342.7681670030697)
(669.7475444252083,342.5495515975273)
(670.0357554369806,342.3615342184255)
(670.3230508012664,342.19417101789065)
(670.6079936843756,342.04646607141984)
(670.8697288018092,341.9242407098123)
(671.1337108632521,341.81320530741147)
(671.3926838434817,341.7142664154654)
(671.6400169416855,341.62698499405485)
(671.8875804231732,341.5450207919164)
(672.1288788125855,341.4681946728349)
(672.3636658422766,341.39421174567696)
(672.5917232319969,341.32089184074255)
(672.8180624821993,341.24439623825504)
(673.0216868148132,341.17038604655295)
(673.2185117772334,341.09210230504164)
(673.4129121518777,341.0062460118412)
(673.5949641818956,340.9164671943926)
(673.7733668281235,340.8175872247488)
(673.9389169259314,340.71465251306387)
(674.0993631756188,340.60254005594226)
(674.2569308598563,340.4783884180737)
(674.3998123995361,340.3522443182826)
(674.5342599216244,340.2193858688716)
(674.6486043556453,340.09455734007145)
(674.7549033608777,339.9672017658366)
(674.8440055781515,339.85160655094313)
(674.9261331142102,339.7367673725135)
(674.9994581943198,339.6274006378031)
(675.0647857397038,339.5250535103289)
(675.1204029400978,339.4357079667435)
(675.1707330009355,339.3551271677909)
(675.216835281921,339.2842989390046)
(675.2597767361558,339.2239614705164)
(675.3005606738539,339.1745142961345)
(675.3400595340146,339.1359462520308)
(675.3789590912316,339.1077961837433)
(675.4188038616705,339.0889432064003)
(675.4686281870875,339.0792656181724)
(675.5140902956459,339.07853515394186)
(675.5568490868285,339.0823278597052)
(675.5984329545279,339.0880562063458)
(675.6353041803604,339.0930890674609)
(675.6683696102693,339.0964536485444)
(675.6985907256523,339.0977990668299)
(675.7277076747322,339.0969824407697)
(675.755107314217,339.09424292199475)
(675.7820606186664,339.090128139808)
(675.8101506214964,339.08560547680605)
(675.8376740143553,339.08262509985417)
(675.864825008347,339.0822794485478)
(675.8960555689534,339.08573156640523)
(675.9306602572306,339.0938593262583)
(675.9707398851219,339.1078271027412)
(676.0256673468257,339.1329203358986)
(676.0929216693127,339.1696382089953)
(676.1656011096657,339.2137254987742)
(676.2419653123646,339.26312701907443)
(676.391248210363,339.36616075794313)
(676.4915260400043,339.4368864635812)
(676.5982454529618,339.5131395955525)
(676.7184687935444,339.5996766721623)
(676.8440418403386,339.6902962029849)
(676.9828348639434,339.79036273659165)
(677.1300512385246,339.89608888913455)
(677.2797088727662,340.00290309039787)
(677.4323288956944,340.1099523848534)
(677.5913771163973,340.21954744374733)
(677.755430772217,340.3305318827018)
(677.9230457923313,340.4417513187279)
(678.0927993414783,340.55208105305985)
(678.2633334420211,340.66045823801056)
(678.4333971448314,340.76591774575274)
(678.596321600511,340.86436729795923)
(678.7514743998939,340.9556155235756)
(678.9092110454148,341.0456427005331)
(679.0582926855861,341.12819212920215)
(679.2089444184332,341.20899527637914)
(679.3556960185193,341.28531463492993)
(679.4937568261646,341.3552054849309)
(679.6329762267137,341.4240765951673)
(679.768645777742,341.49014746440247)
(679.9010496838794,341.55422296438314)
(680.0305001849033,341.61714436871586)
(680.1530208404838,341.67758750267024)
(680.2775374163461,341.74058349480765)
(680.39989472426,341.804613117553)
(680.5120687645656,341.8655429650341)
(680.6225493200053,341.9280354363022)
(680.7313175196048,341.99218405311126)
(680.8421768760975,342.0604182885283)
(680.9471121582883,342.1275660001072)
(681.049868464399,342.19568011893404)
(681.1501866832868,342.26423673241425)
(681.2477789736632,342.3325912750103)
(681.3423482743057,342.4000035083579)
(681.4336103683441,342.46566769184614)
(681.5213166534337,342.5287453109542)
(681.6023020747738,342.5863176167527)
(681.6768713430738,342.6380976229288)
(681.7508380643445,342.6874734071618)
(681.8264327083425,342.73484357805785)
(681.893338591883,342.7734049898229)
(681.9549117495804,342.80524866921235)
(682.0163497694302,342.8326272565494)
(682.0734803000365,342.85372389937993)
(682.1313373887456,342.87023228269675)
(682.1882615151345,342.88168220514143)
(682.2449207353792,342.8885927288812)
(682.2975862751907,342.8916297560633)
(682.3534325726336,342.89175649768623)
(682.408509149443,342.88968415866606)
(682.4655521498055,342.8860035631253)
(682.5276075004305,342.88104809656585)
(682.5900399683131,342.8758315519673)
(682.6585604794442,342.87045610023745)
(682.7278558272702,342.8658412421326)
(682.8040932001724,342.8620852123608)
(682.8811728724706,342.85983701185967)
(682.9657682150703,342.8593138724984)
(683.0509444263004,342.8607605700989)
(683.1400088397701,342.86435735472793)
(683.2408831657368,342.8709388198561)
(683.3333267459578,342.8789301207236)
(683.428726192527,342.8890926150224)
(683.5311614983707,342.9020002610872)
(683.6316151104799,342.91636645791874)
(683.7339705965522,342.93256444452817)
(683.8378177599134,342.9503861421608)
(683.9473420715589,342.97048804215586)
(684.0575418095264,342.9917971558201)
(684.1633358854492,343.0130501773051)
(684.2735082834489,343.03586049970784)
(684.3785190560327,343.0580743723043)
(684.4871444366411,343.08145401054287)
(684.5901157294364,343.10393075457466)
(684.6961411937024,343.1274210641047)
(684.792030294579,343.14902940455033)
(684.8865809795768,343.17081854528084)
(684.9798123725207,343.1929585273082)
(685.0717975321572,343.21567940855925)
(685.1626588690527,343.2392639917157)
(685.2525619516099,343.2640385055889)
(685.3417081008336,343.290361854156)
(685.4303262377158,343.31861411799804)
(685.5226666485215,343.35068455432594)
(685.6109850707799,343.3840868995319)
(685.6995584672729,343.42059135771865)
(685.78864483651,343.46055298461454)
(685.8784920746433,343.50429880788886)
(685.969333096292,343.552122121382)
(686.0613820259424,343.6042782821266)
(686.1548314132233,343.6609819042829)
(686.2498503845169,343.7224053024459)
(686.3465836181302,343.78867801761436)
(686.4451510179649,343.85988725744306)
(686.5456479581912,343.93607909301915)
(686.6529001338912,344.0211873212096)
(686.7526955734087,344.10341115839765)
(686.8543839114581,344.19009574250424)
