Person 91
[18.21111398 -7.63981535]
[18.24085139 -7.69396731]
[18.25215098 -7.71617021]
[18.25717564 -7.72738727]
[18.25886916 -7.73275998]
[18.25858387 -7.73467384]
[18.25706347 -7.73444376]
[18.25508936 -7.7334146 ]
[18.25325649 -7.73260165]
[18.25031229 -7.72995742]
[18.24774102 -7.72791278]
[18.24536707 -7.72619486]
[18.24289002 -7.72432078]
[18.24207168 -7.72512041]
[18.23990697 -7.72381807]
[18.23663271 -7.72075779]
[18.23319133 -7.71741307]
[18.23005892 -7.71453816]
[18.22752043 -7.71258662]
[18.22699584 -7.71375421]
[18.24954163 -7.7467217 ]
[18.26126929 -7.76433626]
[18.26759871 -7.77421888]
[18.27010955 -7.77862191]
[18.27409065 -7.78480858]
[18.2772062  -7.78956862]
[18.27247463 -7.78378248]
[18.26869036 -7.77913636]
[18.26560224 -7.77531945]
[18.26277674 -7.77177079]
[18.25994704 -7.76814706]
[18.25710807 -7.76444231]
[18.2547286  -7.76124315]
[18.25230224 -7.75789896]
[18.24984135 -7.75441878]
[18.24735415 -7.75080628]
[18.22314143 -7.71927503]
[18.20660253 -7.69762815]
[18.19468969 -7.68192343]
[18.18638778 -7.67083071]
[18.18009867 -7.66225611]
[18.1748877  -7.65497835]
[18.17137859 -7.64973922]
[18.16906784 -7.64584091]
[18.16670508 -7.64169196]
[18.16375843 -7.63664301]
[18.16100998 -7.63164282]
[18.15927288 -7.62761798]
[18.15793834 -7.62378472]
[18.15657077 -7.61959578]
[18.15552077 -7.61541625]
[18.15340951 -7.60968841]
[18.15036659 -7.60264059]
[18.14792494 -7.59596543]
[18.14826873 -7.59185853]
[18.14608841 -7.58461512]
[18.16688225 -7.60049802]
[18.16567207 -7.5912715 ]
[18.15609522 -7.5736492 ]
[18.148318   -7.55794918]
[18.14219894 -7.54387321]
[18.1380742  -7.53150246]
[18.13577812 -7.52046897]
[18.1389672  -7.51357984]
[18.13541664 -7.50020222]
[18.13200767 -7.48678904]
[18.13261123 -7.47609077]
[18.12993079 -7.46238487]
[18.12819473 -7.44910383]
[18.12683355 -7.43576435]
[18.12650625 -7.42272163]
[18.12585539 -7.4090179 ]
[18.12573957 -7.39521819]
[18.12606195 -7.38119301]
[18.12597441 -7.36645708]
[18.12638794 -7.35156584]
[18.12722542 -7.33641767]
[18.12843221 -7.32093711]
[18.12996989 -7.30506826]
[18.13138405 -7.28859928]
[18.13274775 -7.27163409]
[18.15375301 -7.27010482]
[18.17035792 -7.26424684]
[18.18314088 -7.25479496]
[18.19361142 -7.24275229]
[18.20282093 -7.22868898]
[18.24423067 -7.22606649]
[18.24302337 -7.20084754]
[18.24269057 -7.17634621]
[18.24335679 -7.15228986]
[18.24482464 -7.12848706]
[18.24620698 -7.10494586]
[18.24786493 -7.08164472]
[18.25048541 -7.05839975]
[18.25352382 -7.03513926]
[18.25774847 -7.0117126 ]
[18.26255998 -6.98800622]
[18.26569564 -6.96423509]
[18.26961312 -6.94046963]
[18.27419311 -6.91662363]
[18.27887196 -6.89267903]
[18.28317601 -6.86872   ]
[18.28808923 -6.84476021]
[18.2921045  -6.82088325]
[18.29629898 -6.79718154]
[18.30016481 -6.77370941]
[18.30374436 -6.75054774]
[18.31568186 -6.72815328]
[18.32777011 -6.7048513 ]
[18.33388875 -6.67979149]
[18.33757877 -6.65478308]
[18.33777463 -6.63058544]
[18.33910427 -6.60736566]
[18.34001869 -6.58504887]
[18.34095964 -6.56360175]
[18.3422829 -6.5429421]
[18.35825081 -6.5287797 ]
[18.37700116 -6.51450446]
[18.38753875 -6.4982688 ]
[18.39818823 -6.48194632]
[18.40315572 -6.46493998]
[18.40631397 -6.44819716]
[18.40803968 -6.43186326]
[18.40896375 -6.41600367]
[18.40989149 -6.40060778]
[18.41002339 -6.38560554]
[18.40979532 -6.37102976]
[18.4091932  -6.35685773]
[18.40854442 -6.34311633]
[18.38405397 -6.30591541]
[18.36306759 -6.27524222]
[18.34527342 -6.24845996]
[18.33023447 -6.22501055]
[18.31725674 -6.20448874]
[18.30562638 -6.18636989]
[18.29553801 -6.17051723]
[18.2860019  -6.15625465]
