Person 91
Starting Actual Velocity = [1.19584154 0.1398369 ]
[18.89901072  2.12928411]
[13.47661171 -1.37117486]
[13.25259504 -1.31184339]
[13.03364244 -1.25703741]
[12.82040637 -1.20598904]
[12.60999901 -1.15747296]
[12.39655682 -1.11003767]
[12.18737551 -1.06988884]
[11.98220257 -1.03848293]
[11.785491   -1.01889274]
[11.60153142 -1.01246983]
[11.43232099 -1.01553298]
[11.31071476 -1.04485187]
[11.23036271 -1.08477332]
[11.19741846 -1.13038236]
[11.21352084 -1.17613496]
[11.27198749 -1.21634234]
[11.37220474 -1.24594376]
[11.49515446 -1.26211296]
[11.62760248 -1.26382869]
[11.75632158 -1.25046187]
[11.86695246 -1.22627957]
[11.96731482 -1.18938803]
[12.04890423 -1.14148986]
[12.11296567 -1.08109078]
[12.12807747 -1.0255127 ]
[12.11793659 -0.96756822]
[12.09651904 -0.89852824]
[12.033228   -0.84515952]
[11.94471526 -0.80670327]
[11.84226412 -0.77934664]
[11.73004866 -0.761306  ]
[11.60941551 -0.75396563]
[11.48335509 -0.75886483]
[11.35368787 -0.77492232]
[11.2233137 -0.8029892]
[11.09698864 -0.84192537]
[10.97966826 -0.89243765]
[10.87814146 -0.95183414]
[10.79907785 -1.01712469]
[10.74796841 -1.08437594]
[10.54800979 -1.03574902]
[10.42189857 -1.01033071]
[10.35790601 -1.00155352]
[10.35346354 -1.0059566 ]
[10.39468244 -1.01793991]
[10.47695777 -1.03207965]
[10.57668703 -1.04134703]
[10.6916794  -1.04117662]
[10.81504643 -1.02573146]
[10.91295875 -0.99234747]
[10.98946329 -0.93883788]
[11.01699003 -0.87311617]
[11.01814366 -0.79149593]
[10.97935775 -0.70670962]
[10.92040185 -0.61161092]
[10.84174304 -0.51085225]
[10.57873163 -0.27790049]
[10.3472682  -0.08385873]
[10.14710157  0.08354079]
[9.98191092 0.22437277]
[9.85171587 0.34137137]
[9.75275674 0.43914073]
[9.6777373  0.52323737]
[9.6164942  0.59920243]
[9.56012712 0.67388068]
[9.52887923 0.76810208]
[9.42961373 0.85359555]
[9.27744275 0.92958934]
[9.08177538 0.99174097]
[8.85180343 1.02615745]
[8.59979869 1.02978782]
[8.35211074 1.00254725]
[8.11945024 0.94022257]
[7.92050972 0.84161185]
[7.77064002 0.7049504 ]
[7.68939092 0.52789818]
[7.67773316 0.33785862]
[7.72284815 0.15455818]
[ 7.83827531 -0.03610228]
[ 8.00850586 -0.21320508]
[ 8.23705674 -0.37623364]
[ 8.58611232 -0.54665108]
[ 8.91968108 -0.54043079]
[ 9.30908009 -0.53785885]
[ 9.73171815 -0.54073261]
[10.63819609 -0.6028299 ]
[11.16517181 -0.6128059 ]
[11.69832848 -0.62476008]
[12.26361603 -0.63888995]
[12.80092906 -0.6483511 ]
[13.33815141 -0.65193805]
[13.83681934 -0.64345862]
[14.2651114  -0.61903809]
[14.65157425 -0.57497581]
[14.93875427 -0.51210394]
[15.16050712 -0.42787363]
[15.31419287 -0.32149504]
[15.39902422 -0.19311108]
[15.41594656 -0.04369628]
[15.36742759  0.12509048]
[15.25716861  0.3110644 ]
[15.09305907  0.50417807]
[14.88634139  0.69987349]
[14.63989705  0.91336802]
[14.36359345  1.12245457]
[14.0532163   1.34325813]
[13.71384695  1.56073747]
[13.35372057  1.75897352]
[12.96084708  1.95262064]
[12.54081235  2.12346621]
[12.09431097  2.26404511]
[11.62342712  2.3672449 ]
[11.14281618  2.42148403]
[10.64144492  2.43558823]
[10.14093009  2.39953326]
[9.67966853 2.31438873]
[9.256644   2.19102818]
[8.89563077 2.0346852 ]
[8.6196429  1.84891044]
[8.46088565 1.64771357]
[8.4311246  1.43744107]
[8.53954678 1.22653143]
[8.78537758 1.0226241 ]
[9.1578594  0.83207688]
[9.63764508 0.65963799]
[10.20487557  0.51153402]
[10.80263233  0.39000285]
[11.40476443  0.2944949 ]
[12.04965957  0.22014489]
[12.74603488  0.16784569]
[13.34396432  0.13889418]
[13.86532029  0.12744548]
[14.35328461  0.13108992]
[14.74448759  0.14431406]
[15.07776133  0.16607321]
[15.31995643  0.1907311 ]
[15.46173017  0.169091  ]
[15.51152698  0.16114974]
[15.51668687  0.17186876]
[15.47424153  0.20079752]
[15.40038278  0.2471051 ]
[15.303899    0.31108179]
[15.18874166  0.38191293]
[15.06495104  0.4624231 ]
[14.93990017  0.54039279]
[14.82088643  0.62128647]
[14.71418211  0.69483571]
[14.62434583  0.76956064]
[14.55191564  0.83819402]
[14.49676516  0.907645  ]
[14.46193525  0.99142489]
[14.45142656  1.08622417]
[14.46039469  1.19648656]
[14.50288844  1.33971951]
[14.57057685  1.50750688]
[14.66411126  1.71219344]
[14.77506978  1.95592095]
[14.90103721  2.25344949]
[15.01713372  2.58762278]
[15.09817633  2.93188909]
[15.14496633  3.31222692]
[15.12627143  3.67888064]
[15.03648826  4.05729269]
[14.85594621  4.39551724]
[14.56831066  4.71602657]
[14.34299015  5.04527197]
[13.96851863  5.29981932]
[13.44290814  5.46981507]
[12.76846212  5.54530058]
[11.95303674  5.5163187 ]
[11.01127778  5.37335305]
[9.96557774 5.10822885]
[8.84646564 4.71552505]
[7.64252741 4.16981779]
[6.49990125 3.52040005]
[5.41735364 2.76304328]
[4.44432677 1.92110586]
[3.62758842 1.02642521]
[3.00771074 0.11735392]
[ 2.61587928 -0.76441254]
[ 2.47137699 -1.57764453]
[ 2.58004626 -2.28528453]
[ 2.93395289 -2.85739254]
[ 3.51233818 -3.27295274]
[ 4.28375812 -3.52051121]
[ 5.25792123 -3.59889922]
[ 6.30130274 -3.42203075]
