Person 91
Starting Actual Velocity = [1.10897917 0.45777897]
[6.831138   2.83580884]
[6.82312161 2.83836773]
[6.81435475 2.83738103]
[6.80454271 2.83272562]
[6.79338727 2.82429194]
[6.7805889  2.81198309]
[6.76584917 2.79571389]
[6.74887291 2.77541   ]
[6.72937047 2.75100712]
[6.70705978 2.72245034]
[6.68250124 2.69040675]
[6.65502116 2.6544702 ]
[6.62476756 2.61496491]
[6.59187242 2.57219958]
[6.55645199 2.52646576]
[6.51614888 2.47473572]
[6.47578444 2.42369191]
[6.4331586  2.37045269]
[6.38538502 2.31145707]
[6.33510973 2.25039456]
[6.28236462 2.18745981]
[6.22716318 2.12281609]
[6.17310207 2.06084727]
[6.11690182 1.997602  ]
[6.0585301  1.93313982]
[5.99794078 1.86749675]
[5.93507363 1.80068549]
[5.86541512 1.72796664]
[5.79291049 1.65382839]
[5.72228782 1.58315556]
[5.64898551 1.511126  ]
[5.56757461 1.43243495]
[5.48269665 1.35188415]
[5.39996046 1.27480795]
[5.31387563 1.19581266]
[5.22423926 1.11470872]
[5.13083363 1.03128647]
[5.03342711 0.94531666]
[4.93177531 0.85655117]
[4.81790838 0.75791977]
[4.7066217  0.66249613]
[4.58173595 0.55597796]
[4.45064496 0.44482176]
[4.3225098  0.33681826]
[4.17846728 0.2155405 ]
[4.03775732 0.09746793]
[ 3.89058008 -0.0259944 ]
[ 3.73669461 -0.15518555]
[ 3.56372634 -0.30093359]
[ 3.39528463 -0.44300881]
[ 3.21955097 -0.59178915]
[ 3.03640624 -0.74755102]
[ 2.84577681 -0.91053964]
[ 2.64764115 -1.08096182]
[ 2.44203667 -1.25897815]
[ 2.22906657 -1.44469488]
[ 2.00890667 -1.63815539]
[ 1.78181249 -1.83933133]
[ 1.54812621 -2.04811351]
[ 1.28975479 -2.28155511]
[ 1.02498498 -2.52312089]
[ 0.75462366 -2.77228985]
[ 0.47962001 -3.02838674]
[ 0.20106801 -3.29057204]
[-0.05959091 -3.53795552]
[-0.32120746 -3.7888652 ]
[-0.58256875 -4.04221042]
[-0.84236513 -4.2967619 ]
[-1.0991992  -4.55115374]
[-1.37114039 -4.82427439]
[-1.63594668 -5.09331586]
[-1.87331213 -5.33647514]
[-2.1189138  -5.59161762]
[-2.35159001 -5.83601232]
[-2.56940123 -6.06722685]
[-2.77048341 -6.28280872]
[-2.95308529 -6.48032973]
[-3.11560501 -6.65743379]
[-3.25662459 -6.81188631]
[-3.37494091 -6.94162371]
[-3.46959169 -7.04480066]
[-3.53499509 -7.11405532]
[-3.57903263 -7.158073  ]
[-3.60154862 -7.17603562]
[-3.60259624 -7.16738372]
[-3.58243202 -7.13182554]
[-3.54150591 -7.0693394 ]
[-3.48044751 -6.98016967]
[-3.40004895 -6.86481662]
[-3.30124556 -6.72402072]
[-3.18509473 -6.55874242]
[-3.05275413 -6.37013823]
[-2.90545987 -6.15953415]
[-2.73223358 -5.91084357]
[-2.54488763 -5.64036673]
[-2.34509929 -5.35019069]
[-2.1493672  -5.06414583]
[-1.94562733 -4.76467343]
[-1.71929992 -4.43000845]
[-1.48683372 -4.08405715]
[-1.24973711 -3.72893896]
[-1.00944809 -3.3667041 ]
[-0.76732826 -2.99931699]
[-0.54159564 -2.65455928]
[-0.31632312 -2.3083281 ]
[-0.07564802 -1.93597944]
[ 0.14578244 -1.5909341 ]
[ 0.36415725 -1.24823729]
[ 0.57875538 -0.90895207]
[ 0.78891523 -0.57405211]
[ 0.99475323 -0.24361071]
[1.19529771 0.08114647]
[1.39018696 0.39964404]
[1.5790844  0.71133508]
[1.76168326 1.01570642]
[1.93771019 1.31228261]
[2.10692772 1.60062848]
[2.28132612 1.90119263]
[2.44740566 2.19130931]
[2.59398246 2.45125888]
[2.74366327 2.72025247]
[2.87482481 2.96002011]
[2.99853209 3.18977713]
[3.11479774 3.4093643 ]
[3.23191804 3.63419856]
[3.33286627 3.83225253]
[3.43369765 4.0337388 ]
[3.51967994 4.20990162]
[3.59862561 4.37544667]
[3.67065735 4.53033227]
[3.7359077  4.67452627]
[3.79451788 4.80800487]
[3.84663701 4.93075222]
[3.89242174 5.04276088]
[3.93203615 5.14403301]
[3.96831839 5.24131105]
[3.99567482 5.32034349]
[4.01919328 5.39382539]
[4.03510934 5.45083128]
[4.04583084 5.49736352]
[4.05157444 5.53354664]
[4.05256636 5.55953809]
[4.04892961 5.57679041]
[4.04036691 5.58279022]
[4.02796909 5.57812034]
[4.01080651 5.5634373 ]
[3.99100013 5.54024589]
[3.96804549 5.50873848]
[3.95522772 5.47393243]
[3.93926197 5.43199117]
[3.92065843 5.38373947]
[3.89991526 5.32998878]
[3.87751831 5.27152868]
[3.85394044 5.20911886]
[3.82964039 5.14348173]
[3.80506129 5.07529595]
[3.78062883 5.00519109]
[3.75674914 4.93374331]
[3.73230279 4.85684403]
[3.7107716  4.78418602]
[3.69089519 4.71159595]
[3.67297573 4.63941412]
[3.65635501 4.56343405]
[3.64331878 4.49291618]
[3.63296752 4.42351093]
[3.62546697 4.35534766]
[3.62094683 4.28851374]
[3.61950069 4.22305934]
[3.6211862  4.15900226]
[3.62602578 4.09633281]
[3.63400758 4.0350187 ]
[3.64508685 3.97500958]
[3.65918748 3.91624146]
[3.67771449 3.85513393]
[3.70140628 3.79728583]
[3.72873188 3.74149027]
[3.76010518 3.68854279]
[3.79580134 3.63905321]
[3.83595773 3.59345732]
[3.88057794 3.55203128]
[3.92953857 3.51490803]
[3.9825982 3.4820947]
[4.03940814 3.45349032]
[4.09952437 3.42890326]
[4.15770165 3.40871009]
[4.22268995 3.39111032]
[4.28430486 3.37685812]
[4.35175226 3.36488948]
[4.41440681 3.35520499]
[4.48161727 3.34730702]
[4.5427262  3.34069129]
[4.60688199 3.33523234]
[4.66381398 3.33016606]
[4.71783104 3.32533104]
[4.76835246 3.32039377]
[4.81481947 3.31503207]
[4.86005883 3.30896717]
[4.89936085 3.30164897]
[4.93215689 3.29273245]
[4.95792918 3.28189064]
[4.97621525 3.26881444]
[4.98661198 3.25321219]
[4.98877932 3.2348092 ]
[4.98264517 3.21450545]
[4.96823088 3.18999439]
[4.94498296 3.16196962]
[4.91283906 3.13021881]
[4.87181301 3.09454491]
[4.82515992 3.05722684]
[4.76731761 3.0134894 ]
[4.70108088 2.96534016]
[4.62676877 2.91264461]
[4.55012132 2.85896489]
[4.46719424 2.80116683]
[4.37841446 2.73918256]
[4.28425809 2.67295916]
[4.18524661 2.60245925]
[4.08194245 2.52766148]
[3.9749441  2.44856103]
[3.85710741 2.35931423]
[3.74449867 2.27134367]
[3.63020282 2.179162  ]
[3.51490715 2.08283381]
[3.39930575 1.98244031]
[3.28409351 1.87807874]
[3.16187427 1.76220112]
[3.0555902  1.65430586]
[2.95887932 1.54813756]
[2.86626749 1.43703727]
[2.77322432 1.3129577 ]
[2.68872885 1.18382105]
[2.61449884 1.05008868]
[2.55204463 0.91230809]
[2.50594828 0.78051883]
[2.46964021 0.63674529]
[2.44823426 0.49094564]
[2.44234395 0.34391815]
[2.45169022 0.20632549]
[2.4766518 0.0592998]
[ 2.51766806 -0.08644854]
[ 2.57454075 -0.2300481 ]
[ 2.64690483 -0.37063728]
[ 2.73424844 -0.50737459]
[ 2.83593371 -0.63944804]
[ 2.95121755 -0.76608327]
[ 3.07927199 -0.88655075]
[ 3.2098764  -0.99259601]
[ 3.36004911 -1.09927996]
[ 3.52028749 -1.19794298]
[ 3.68965409 -1.28804928]
